Date,Ping (ms),Download (Mbps),Upload (Mbps)
2020-06-08 22:30:28.264069,59.0,6.12,1.16
2020-06-08 23:00:32.913106,48.0,6.14,1.15
2020-06-08 23:30:31.660657,45.0,6.17,1.15
2020-06-09 00:00:53.162881,44.0,5.95,0.77
2020-06-09 00:30:39.716769,44.0,6.02,1.1
2020-06-09 01:00:32.152454,59.0,6.14,1.13
2020-06-09 01:30:34.245716,54.0,6.03,1.0
2020-06-09 02:00:32.866966,40.0,6.15,1.04
2020-06-09 02:30:32.013002,40.0,6.05,1.14
2020-06-09 03:00:33.339680,51.0,6.07,1.07
2020-06-09 03:30:46.611507,44.0,6.05,1.14
2020-06-09 04:00:33.682097,45.0,5.87,0.98
2020-06-09 04:30:34.173226,46.0,6.09,0.99
2020-06-09 05:00:34.506006,44.0,6.12,1.05
2020-06-09 05:30:32.705651,49.0,6.09,1.1
2020-06-09 06:00:36.980659,65.0,5.62,0.99
2020-06-09 06:30:31.016036,46.0,5.9,1.15
2020-06-09 07:00:35.314867,60.0,5.94,1.1
2020-06-09 07:30:34.475698,44.0,6.14,1.2
2020-06-09 08:00:36.710039,45.0,6.13,1.08
2020-06-09 08:30:36.573389,44.0,6.1,0.94
2020-06-09 09:00:35.359841,44.0,6.12,1.06
2020-06-09 09:30:37.265823,46.0,6.21,1.02
2020-06-09 10:00:41.523587,47.0,6.14,1.12
2020-06-09 10:30:39.117296,45.0,6.1,1.02
2020-06-09 11:00:42.304109,59.0,4.17,0.91
2020-06-09 11:30:35.060674,49.0,6.06,1.07
2020-06-09 12:00:35.390126,60.0,6.16,1.08
2020-06-09 12:30:32.155636,45.0,6.19,1.1
2020-06-09 13:00:37.169314,60.0,4.84,1.09
2020-06-09 13:30:34.824198,48.0,4.18,1.05
2020-06-09 14:00:38.819951,70.0,3.22,0.88
2020-06-09 14:30:34.906681,55.0,3.41,0.94
2020-06-09 15:00:41.916769,135.0,3.61,0.74
2020-06-09 15:30:35.222372,49.0,3.9,0.97
2020-06-09 16:00:36.166246,53.0,3.22,0.92
2020-06-09 16:30:36.077727,57.0,6.15,1.08
2020-06-09 17:00:33.382108,44.0,6.12,1.09
2020-06-09 17:30:33.420676,48.0,6.15,1.13
2020-06-09 18:00:44.009072,162.0,3.73,0.9
2020-06-09 18:30:35.536253,60.0,3.45,0.92
2020-06-09 19:00:43.055871,44.0,2.67,0.98
2020-06-09 19:30:33.371268,41.0,6.01,1.09
2020-06-09 20:00:35.604252,55.0,6.14,1.1
2020-06-09 20:30:31.916844,59.0,6.2,1.22
2020-06-09 22:03:06.150601,58.0,5.07,1.03
2020-06-09 22:35:46.048460,49.0,4.33,0.85
2020-06-09 23:00:44.503784,46.0,4.01,0.8
2020-06-09 23:30:35.417107,60.0,6.08,0.97
2020-06-10 00:01:08.398147,45.0,6.13,1.19
2020-06-10 00:30:32.339166,44.0,6.09,1.22
2020-06-10 01:00:35.465819,60.0,6.15,1.01
2020-06-10 01:30:32.579275,43.0,6.13,1.14
2020-06-10 02:00:35.887449,49.0,6.14,1.06
2020-06-10 02:30:39.040098,40.0,6.14,1.1
2020-06-10 03:00:33.126418,39.0,6.14,1.07
2020-06-10 03:30:38.503780,44.0,6.16,1.15
2020-06-10 04:00:43.493003,55.0,6.13,1.1
2020-06-10 04:30:39.173291,39.0,6.06,1.13
2020-06-10 05:00:41.358168,40.0,6.06,1.01
2020-06-10 05:30:33.399358,43.0,5.94,1.08
2020-06-10 06:00:35.141901,60.0,6.16,1.06
2020-06-10 06:30:39.777266,43.0,6.05,1.06
2020-06-10 07:00:39.804272,40.0,6.22,1.06
2020-06-10 07:30:33.319391,45.0,5.91,0.99
2020-06-10 08:00:48.022685,40.0,6.04,1.16
2020-06-10 08:30:35.342927,66.0,5.27,1.03
2020-06-10 09:00:34.926093,48.0,5.65,1.08
2020-06-10 09:30:41.657212,80.0,2.84,1.06
2020-06-10 10:00:34.728511,51.0,6.14,1.1
2020-06-10 10:30:27.743556,50.0,6.1,1.1
2020-06-10 11:00:30.349997,60.0,5.67,1.05
2020-06-10 11:30:28.671975,40.0,6.12,1.01
2020-06-10 12:01:13.676682,175.0,2.9,0.79
2020-06-10 12:30:43.217127,57.0,5.1,1.09
2020-06-10 13:00:34.090126,40.0,5.58,1.03
2020-06-10 13:30:32.536157,42.0,3.97,0.99
2020-06-10 14:00:48.794841,44.0,3.73,0.76
2020-06-10 14:30:41.444561,62.0,3.46,0.9
2020-06-10 15:00:34.104364,45.0,5.93,1.01
2020-06-10 15:30:30.131811,60.0,3.67,0.95
2020-06-10 16:00:34.048278,42.0,3.72,1.15
2020-06-10 16:30:36.021459,60.0,3.51,0.87
2020-06-10 17:00:35.042767,92.0,3.54,0.99
2020-06-10 17:30:33.019146,60.0,4.59,0.98
2020-06-10 18:00:30.050419,40.0,6.14,1.25
2020-06-10 18:30:31.779812,60.0,4.85,0.97
2020-06-10 19:00:34.449141,62.0,5.61,1.0
2020-06-10 19:30:31.975368,40.0,4.4,0.97
2020-06-10 20:00:33.713477,70.0,4.43,0.81
2020-06-10 20:30:29.706268,44.0,4.14,0.95
2020-06-10 21:00:28.289287,47.0,6.23,1.25
2020-06-10 21:30:29.539663,60.0,4.34,0.98
2020-06-10 22:00:39.985671,156.0,3.34,0.8
2020-06-10 22:30:33.255305,46.0,3.38,0.95
2020-06-10 23:00:35.057397,60.0,5.05,1.01
2020-06-10 23:30:31.237210,40.0,4.38,1.06
2020-06-11 00:00:34.794963,42.0,3.73,0.94
2020-06-11 00:30:27.514016,40.0,6.08,1.15
2020-06-11 01:00:28.503350,42.0,5.95,1.13
2020-06-11 01:34:26.515628,40.0,6.22,1.03
2020-06-11 02:01:34.021347,40.0,6.15,1.15
2020-06-11 02:30:31.498220,40.0,6.11,1.13
2020-06-11 03:00:33.960631,45.0,6.08,1.14
2020-06-11 03:30:27.873201,48.0,6.13,1.05
2020-06-11 04:00:31.755310,44.0,6.13,1.14
2020-06-11 04:30:27.875022,49.0,6.13,1.12
2020-06-11 05:00:27.006772,45.0,6.12,1.19
2020-06-11 05:30:31.630816,100.0,5.81,0.96
2020-06-11 06:00:40.435350,46.0,6.15,1.07
2020-06-11 06:30:27.276280,48.0,5.49,1.15
2020-06-11 07:00:33.727260,85.0,5.14,1.09
2020-06-11 07:30:27.609752,46.0,5.77,1.14
2020-06-11 08:00:28.006155,55.0,5.68,1.12
2020-06-11 08:30:33.244163,49.0,6.15,0.79
2020-06-11 09:00:32.794501,43.0,6.09,0.97
2020-06-11 09:30:28.254388,49.0,5.93,1.1
2020-06-11 10:00:33.911380,58.0,5.88,0.98
2020-06-11 10:30:28.920400,49.0,5.22,1.04
2020-06-11 11:00:27.907850,49.0,6.15,1.17
2020-06-11 11:30:29.730436,49.0,6.1,1.0
2020-06-11 12:00:30.763257,43.0,6.16,1.19
2020-06-11 12:30:28.554389,55.0,6.16,1.1
2020-06-11 13:00:28.519452,48.0,6.17,0.97
2020-06-11 13:30:28.962366,44.0,6.1,1.02
2020-06-11 14:00:32.520231,57.0,6.04,1.1
2020-06-11 14:30:31.631317,58.0,4.1,0.93
2020-06-11 15:00:35.549694,145.0,4.24,0.96
2020-06-11 15:30:36.060780,57.0,3.52,0.88
2020-06-11 16:00:31.330644,60.0,3.81,0.95
2020-06-11 16:30:30.364916,53.0,4.71,1.03
2020-06-11 17:00:39.681029,119.0,3.67,0.98
2020-06-11 17:30:38.085547,52.0,3.82,1.11
2020-06-11 18:00:29.589611,48.0,3.51,1.14
2020-06-11 18:30:30.545767,58.0,4.3,0.92
2020-06-11 19:00:31.519021,57.0,5.6,0.96
2020-06-11 19:30:34.887977,58.0,5.91,1.08
2020-06-11 20:00:48.047071,50.0,2.81,0.64
2020-06-11 20:30:29.459382,47.0,6.06,1.02
2020-06-11 21:00:32.613468,54.0,6.11,1.2
2020-06-11 21:30:35.418464,52.0,6.07,1.01
2020-06-11 22:00:40.872984,124.0,3.65,0.88
2020-06-11 22:30:31.359387,45.0,3.72,0.86
2020-06-11 23:00:28.728653,45.0,6.1,1.16
2020-06-11 23:30:29.796645,49.0,6.07,0.97
2020-06-12 00:00:37.166583,66.0,4.22,0.91
2020-06-12 00:30:37.987502,49.0,5.19,1.22
2020-06-12 01:03:56.608832,44.0,6.04,1.1
2020-06-12 01:30:54.750103,48.0,6.09,1.1
2020-06-12 02:00:44.318321,56.0,6.15,1.15
2020-06-12 02:30:37.537625,39.0,6.1,1.11
2020-06-12 03:00:38.376502,41.0,5.85,1.11
2020-06-12 03:30:37.206019,40.0,6.11,1.16
2020-06-12 04:00:37.113695,43.0,6.07,1.13
2020-06-12 04:30:41.260595,44.0,6.04,1.07
2020-06-12 05:00:39.636758,39.0,6.07,0.93
2020-06-12 05:30:50.306344,43.0,6.19,1.06
2020-06-12 06:00:41.837438,44.0,6.09,1.06
2020-06-12 06:30:40.269260,40.0,6.0,0.98
2020-06-12 07:00:33.711085,43.0,5.83,1.05
2020-06-12 07:30:33.736567,49.0,6.11,1.08
2020-06-12 08:00:41.466108,58.0,5.44,1.02
2020-06-12 08:30:27.558512,40.0,6.12,1.02
2020-06-12 09:00:32.913436,80.0,3.78,0.91
2020-06-12 09:30:32.378756,44.0,4.59,0.86
2020-06-12 10:00:31.409528,59.0,6.1,0.96
2020-06-12 10:30:28.838753,40.0,6.06,0.99
2020-06-12 11:00:30.172241,51.0,6.18,1.05
2020-06-12 11:30:28.743994,44.0,6.01,1.03
2020-06-12 12:00:28.615020,60.0,6.06,1.16
2020-06-12 12:30:28.341303,40.0,6.0,1.11
2020-06-12 13:00:34.705034,62.0,4.93,0.8
2020-06-12 13:30:29.634760,45.0,6.15,1.01
2020-06-12 14:00:34.626699,59.0,6.0,1.14
2020-06-12 14:30:27.634645,54.0,6.16,1.12
2020-06-12 15:00:31.537350,68.0,5.4,0.93
2020-06-12 15:30:28.439422,40.0,6.12,1.09
2020-06-12 16:00:31.059823,58.0,5.97,1.08
2020-06-12 16:30:28.742558,44.0,5.74,1.04
2020-06-12 17:00:34.402497,44.0,6.23,1.0
2020-06-12 17:30:28.624839,44.0,6.05,1.09
2020-06-12 18:00:32.019696,62.0,6.15,1.08
2020-06-12 18:30:29.826273,44.0,6.11,1.04
2020-06-12 19:00:31.413931,77.0,6.15,1.02
2020-06-12 19:30:28.749922,59.0,6.13,1.09
2020-06-12 20:00:38.334985,47.0,5.91,1.23
2020-06-12 20:30:51.572598,288.0,2.18,0.83
2020-06-12 21:00:30.365142,40.0,6.11,1.1
2020-06-12 21:30:35.098281,56.0,5.3,1.06
2020-06-12 22:00:40.375300,44.0,5.41,1.02
2020-06-12 22:30:31.261864,46.0,6.12,1.2
2020-06-12 23:00:32.973491,60.0,6.12,1.08
2020-06-12 23:30:28.999637,43.0,6.01,1.2
2020-06-13 00:00:38.362621,51.0,4.8,1.01
2020-06-13 00:30:29.205421,40.0,5.97,1.15
2020-06-13 01:00:34.672620,40.0,6.22,1.07
2020-06-13 01:30:32.367847,39.0,6.14,1.09
2020-06-13 02:00:36.823747,65.0,6.03,0.95
2020-06-13 02:30:28.343091,44.0,6.13,1.05
2020-06-13 03:00:35.685134,39.0,6.1,1.01
2020-06-13 03:30:29.357553,44.0,6.22,1.13
2020-06-13 04:00:34.522539,72.0,6.23,1.1
2020-06-13 04:30:28.553449,50.0,6.08,1.13
2020-06-13 05:00:30.730231,75.0,5.87,1.07
2020-06-13 05:30:29.812657,53.0,6.09,1.07
2020-06-13 06:00:33.249824,62.0,6.12,0.98
2020-06-13 06:30:32.514888,40.0,6.1,1.0
2020-06-13 07:00:32.779851,55.0,5.51,1.06
2020-06-13 07:30:30.240287,43.0,6.06,0.93
2020-06-13 08:00:39.910476,40.0,6.14,0.91
2020-06-13 08:30:30.073608,43.0,6.05,1.02
2020-06-13 09:00:32.334151,62.0,6.01,1.19
2020-06-13 09:30:34.092305,43.0,3.85,0.9
2020-06-13 10:00:32.290757,62.0,6.16,1.15
2020-06-13 10:30:27.549026,40.0,6.08,1.18
2020-06-13 11:00:38.238925,180.0,3.8,0.98
2020-06-13 11:30:33.165275,41.0,4.34,1.0
2020-06-13 12:00:35.652930,51.0,3.72,0.93
2020-06-13 12:30:29.927931,43.0,2.64,1.0
2020-06-13 13:00:36.334519,53.0,6.02,1.04
2020-06-13 13:30:30.401671,42.0,6.12,1.15
2020-06-13 14:00:32.789595,68.0,4.91,1.09
2020-06-13 14:30:39.820321,176.0,3.99,0.95
2020-06-13 15:00:34.666843,80.0,3.84,0.98
2020-06-13 15:30:33.284920,43.0,5.49,0.96
2020-06-13 16:00:38.854922,148.0,3.66,0.88
2020-06-13 16:30:28.023687,46.0,6.02,1.16
2020-06-13 17:00:32.119010,61.0,6.11,1.17
2020-06-13 17:30:30.753327,41.0,6.17,1.03
2020-06-13 18:00:30.785513,44.0,6.16,1.17
2020-06-13 18:30:31.250049,44.0,6.15,1.09
2020-06-13 19:00:29.894317,61.0,5.75,1.19
2020-06-13 19:30:27.969558,60.0,6.16,1.21
2020-06-13 20:00:43.122773,58.0,4.54,1.04
2020-06-13 20:30:42.830440,66.0,4.09,1.07
2020-06-13 21:00:39.384666,67.0,3.78,0.76
2020-06-13 21:30:37.865303,57.0,3.52,0.97
2020-06-13 22:00:36.594023,41.0,6.1,1.09
2020-06-13 22:30:37.597944,55.0,3.61,1.01
2020-06-13 23:00:33.743278,44.0,3.87,0.96
2020-06-13 23:30:42.579063,44.0,5.08,0.94
2020-06-14 10:30:32.759665,119.0,5.65,0.93
2020-06-14 11:00:30.517068,42.0,5.67,0.99
2020-06-14 11:30:34.337469,141.0,4.11,0.94
2020-06-14 12:00:35.903371,59.0,4.62,0.79
2020-06-14 12:30:29.235961,45.0,2.63,0.98
2020-06-14 13:00:33.540521,43.0,3.46,0.96
2020-06-14 13:30:36.422446,232.0,3.72,0.91
